"task","task_is","weight","hierarchy_belongs","source","Description"
"WMT2014 German-English","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT2016 German-English","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT2014 English-German","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT2014 French-English","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT2014 English-French","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT2016 English-Romanian","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT2016 Romanian-English","Unsupervised Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"WMT 2014 EN-DE","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 Romanian-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"IWSLT2015 Thai-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 Russian-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2015 English-Russian","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"IWSLT2015 German-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2014 French-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 English-German","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2015 English-German","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"IWSLT2015 English-German","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 English-Czech","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2014 German-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 Czech-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2014 English-German","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 German-English","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 English-Russian","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2016 English-Romanian","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"WMT2014 English-French","Machine Translation","1","Natural Language Processing","paperswithcode","Machine translation is the task of translating a sentence in a source language to a different target language."
"GPS","Trajectory Prediction","1","Computer Vision","paperswithcode",""
